,X Coordinate,Y Coordinate
A1,248,476
A11,334,462
A17,317,464
A23,304,469
A24,315,444
A30,288,470
A31,292,455
A32,299,438
A39,272,474
A40,276,463
A41,285,448
A49,257,472
A50,265,458
A51,270,441
A52,278,423
A59,254,461
A60,255,447
A61,259,434
D12,337,511
D13,321,495
D17,325,515
D18,307,501
D22,311,524
D23,305,516
D24,289,499
D33,274,500
D43,258,502
D55,249,498
D9*,341,491
A12,341,455
A13,347,446
A14,354,438
A19,335,444
A20,345,428
A21,354,420
A22,364,413
A26,333,426
A27,342,413
A28,354,404
A29,366,396
A34,320,419
A35,329,413
A36,340,399
A37,352,390
A4,363,462
A43,297,420
A47,357,364
A7,348,463
A70,262,369
A8,353,456
A9,360,445
B17*,408,453
B19*,425,469
B20*,392,430
C10,463,500
C18,473,505
C9,468,491
D7,361,509
D8,348,501
A65,289,379
A25,325,433
A66,300,369
A5,368,452
B62,487,425
A2,366,343
B3,419,352
B4,432,357
B46,392,379
B47,407,383
B50,444,408
B51,454,419
B52,468,429
B53,480,435
B55,396,365
B56,409,369
B57,422,378
B58,438,386
B59,448,398
B60,464,407
B61,474,419
B63,406,356
B64,421,366
B65,436,372
B66,448,378
B67,458,387
B68,467,396
B69,478,392
B5,479,406
B6,486,415
Z1*,381,479
A10,376,439
A3*,378,459
A6,381,448
B11,393,470
B12,390,458
B13,402,464
B14,410,471
B15,392,445
B16,400,449
C4,453,491
C11,459,510
C12,445,530
C13,433,540
C14,421,548
C15,411,556
C16,399,566
C19,467,519
C20,452,539
C21,439,550
C23,419,565
C24,410,570
C25,400,580
C28,482,523
C29,473,532
C3,418,529
C30,465,542
C31,456,551
C33,434,567
C34,423,575
C35,412,582
C36,400,592
C39,490,529
C40,482,543
C41,473,554
C43,448,571
C44,437,580
C45,427,588
C46,414,595
C5,445,502
C51,497,543
C52,448,553
C53,473,564
C54,463,575
C55,451,583
C56,439,591
C57,427,600
C58,415,606
C6,433,525
C62,508,542
C63,500,557
C64,490,568
C65,480,577
C66,472,587
C67,458,594
C68,446,601
C7,411,538
C70,420,616
C73,511,556
C74,503,568
C75,493,582
C76,482,591
C79,446,614
C8,398,550
C80,431,619
C82,398,493
C84,395,520
C85,411,490
C87,408,516
D14,370,547
Z2,,
A15,364,432
A16,374,423
C69,434,608
C42,460,562
D46,343,592
D3,326,606
C2,405,630
D35,355,582
D45,355,597
D57,355,614
C47,403,602
D19,368,558
D34,371,586
D44,368,602
D56,368,619
D25,373,573
C78*,463,606
C59,405,613
C71,409,622
C77,471,600
C81,418,625
D21,342,547
D26,350,566
D28,327,551
D29,314,542
D2,324,535
D36,340,577
D62,266,566
D37,328,569
D47,330,587
D16,340,528
D41,281,528
D42,272,516
D53,266,528
D54,256,518
D60,287,587
D61,274,577
D6*,264,556
D1,334,542
D11,353,522
D15,356,538
D20,355,553
D27,339,558
D30,303,532
D31,291,523
D32,482,513
D38,315,560
D39,304,549
D40,291,541
D48,318,579
D49,304,570
D5,261,547
D50,294,560
D51,282,550
D52,272,542
D63,,
D64,315,580
D65,301,582
D66,292,576
D67,279,564
D58,336,612
D59,300,592
A38,368,383
A48,371,362
A57,338,359
A58,351,353
A67,323,357
A68,335,346
B26,392,418
B29,437,450
B30,445,459
B32,390,409
B33,403,411
B10,441,439
B18,420,462
B2,431,443
B21,404,440
B22,415,445
B23,423,452
B24,431,459
B25,437,470
B27,404,427
B31,455,467
B34,448,447
B35,459,445
B36,471,462
B37,392,391
B39,419,405
B40,434,415
B41,444,424
B42,456,435
B43,468,444
B44,483,456
B48,420,392
B49,432,403
B54,494,444
B7,416,422
B8,426,426
C1,516,493
C17,482,493
C27,488,511
C37,506,504
C38,498,519
C49,512,518
C50,504,529
B9,434,434
B45,431,403
D4,311,599
C48,522,507
A63,275,407
A69,280,371
C61,517,531
C72,422,543
C86,414,500
A53,293,411
A45,332,388
A46,347,377
A56,325,371
B38,407,401
C26,493,501
A62,267,424
D10,366,530
A33,311,432
A42,291,436
A44,307,412
A64,281,395
